Name,Platform,Version
2023-10-10T16:23:58,accountsservice,amd64,22.07.5-2ubuntu1.4
2023-10-10T16:23:58,acl,amd64,2.3.1-1
2023-10-10T16:23:58,acpi-support,amd64,0.144
2023-10-10T16:23:58,acpid,amd64,1:2.0.33-1ubuntu1
2023-10-10T16:23:58,adduser,all,3.118ubuntu5
2023-10-10T16:23:58,adwaita-icon-theme,all,41.0-1ubuntu1
2023-10-10T16:23:58,alsa-base,all,1.0.25+dfsg-0ubuntu7
2023-10-10T16:23:58,alsa-topology-conf,all,1.2.5.1-2
2023-10-10T16:23:58,alsa-ucm-conf,all,1.2.6.3-1ubuntu1.7
2023-10-10T16:23:58,alsa-utils,amd64,1.2.6-1ubuntu1
2023-10-10T16:23:58,amd64-microcode,amd64,3.20191218.1ubuntu2.2
2023-10-10T16:23:58,anacron,amd64,2.3-31ubuntu2
2023-10-10T16:23:58,apg,amd64,2.2.3.dfsg.1-5build2
2023-10-10T16:23:58,apparmor,amd64,3.0.4-2ubuntu2.2
2023-10-10T16:23:58,apport,all,2.20.11-0ubuntu82.5
2023-10-10T16:23:58,apport-gtk,all,2.20.11-0ubuntu82.5
2023-10-10T16:23:58,apport-symptoms,all,0.24
2023-10-10T16:23:58,appstream,amd64,0.15.2-2
2023-10-10T16:23:58,apt,amd64,2.4.10
2023-10-10T16:23:58,apt-config-icons,all,0.15.2-2
2023-10-10T16:23:58,apt-config-icons-hidpi,all,0.15.2-2
2023-10-10T16:23:58,apt-transport-https,all,2.4.10
2023-10-10T16:23:58,apt-utils,amd64,2.4.10
2023-10-10T16:23:58,aptdaemon,all,1.1.1+bzr982-0ubuntu39
2023-10-10T16:23:58,aptdaemon-data,all,1.1.1+bzr982-0ubuntu39
2023-10-10T16:23:58,apturl,amd64,0.5.2ubuntu22
2023-10-10T16:23:58,apturl-common,amd64,0.5.2ubuntu22
2023-10-10T16:23:58,arandr,all,0.1.10-1.1
2023-10-10T16:23:58,aspell,amd64,0.60.8-4build1
2023-10-10T16:23:58,aspell-en,all,2018.04.16-0-1
2023-10-10T16:23:58,aspnetcore-runtime-6.0,amd64,6.0.122-0ubuntu1~22.04.1
2023-10-10T16:23:58,aspnetcore-targeting-pack-6.0,amd64,6.0.122-0ubuntu1~22.04.1
2023-10-10T16:23:58,at-spi2-core,amd64,2.44.0-3
2023-10-10T16:23:58,autorandr,all,1.11-1
2023-10-10T16:23:58,avahi-autoipd,amd64,0.8-5ubuntu5.1
2023-10-10T16:23:58,avahi-daemon,amd64,0.8-5ubuntu5.1
2023-10-10T16:23:58,avahi-utils,amd64,0.8-5ubuntu5.1
2023-10-10T16:23:58,azure-cli,amd64,2.52.0-1~jammy
2023-10-10T16:23:58,azure-functions-core-tools-4,amd64,4.0.5348-1
2023-10-10T16:23:58,base-files,amd64,12ubuntu4.4
2023-10-10T16:23:58,base-passwd,amd64,3.5.52build1
2023-10-10T16:23:58,bash,amd64,5.1-6ubuntu1
2023-10-10T16:23:58,bash-completion,all,1:2.11-5ubuntu1
2023-10-10T16:23:58,bc,amd64,1.07.1-3build1
2023-10-10T16:23:58,bind9,amd64,1:9.18.1-1ubuntu1.1
2023-10-10T16:23:58,bind9-dnsutils,amd64,1:9.18.12-0ubuntu0.22.04.3
2023-10-10T16:23:58,bind9-host,amd64,1:9.18.12-0ubuntu0.22.04.3
2023-10-10T16:23:58,bind9-libs,amd64,1:9.18.12-0ubuntu0.22.04.3
2023-10-10T16:23:58,binutils,amd64,2.38-4ubuntu2.3
2023-10-10T16:23:58,binutils-common,amd64,2.38-4ubuntu2.3
2023-10-10T16:23:58,binutils-x86-64-linux-gnu,amd64,2.38-4ubuntu2.3
2023-10-10T16:23:58,blt,amd64,2.5.3+dfsg-4.1build2
2023-10-10T16:23:58,bluez,amd64,5.64-0ubuntu1
2023-10-10T16:23:58,bluez-cups,amd64,5.64-0ubuntu1
2023-10-10T16:23:58,bluez-obexd,amd64,5.64-0ubuntu1
2023-10-10T16:23:58,bolt,amd64,0.9.2-1
2023-10-10T16:23:58,brltty,amd64,6.4-4ubuntu3
2023-10-10T16:23:58,bsdextrautils,amd64,2.37.2-4ubuntu3
2023-10-10T16:23:58,bsdutils,amd64,1:2.37.2-4ubuntu3
2023-10-10T16:23:58,bubblewrap,amd64,0.6.1-1
2023-10-10T16:23:58,build-essential,amd64,12.9ubuntu3
2023-10-10T16:23:58,busybox-initramfs,amd64,1:1.30.1-7ubuntu3
2023-10-10T16:23:58,busybox-static,amd64,1:1.30.1-7ubuntu3
2023-10-10T16:23:58,bzip2,amd64,1.0.8-5build1
2023-10-10T16:23:58,ca-certificates,all,20230311ubuntu0.22.04.1
2023-10-10T16:23:58,ca-certificates-java,all,20190909ubuntu1.2
2023-10-10T16:23:58,cheese,amd64,41.1-1build1
2023-10-10T16:23:58,cheese-common,all,41.1-1build1
2023-10-10T16:23:58,cifs-utils,amd64,2:6.14-1ubuntu0.1
2023-10-10T16:23:58,cmake,amd64,3.22.1-1ubuntu1.22.04.1
2023-10-10T16:23:58,cmake-data,all,3.22.1-1ubuntu1.22.04.1
2023-10-10T16:23:58,code,amd64,1.82.2-1694671812
2023-10-10T16:23:58,colord,amd64,1.4.6-1
2023-10-10T16:23:58,colord-data,all,1.4.6-1
2023-10-10T16:23:58,command-not-found,all,22.04.0
2023-10-10T16:23:58,compton,amd64,1-1
2023-10-10T16:23:58,console-setup,all,1.205ubuntu3
2023-10-10T16:23:58,console-setup-linux,all,1.205ubuntu3
2023-10-10T16:23:58,coreutils,amd64,8.32-4.1ubuntu1
2023-10-10T16:23:58,cpio,amd64,2.13+dfsg-7
2023-10-10T16:23:58,cpp,amd64,4:11.2.0-1ubuntu1
2023-10-10T16:23:58,cpp-11,amd64,11.4.0-1ubuntu1~22.04
2023-10-10T16:23:58,cpp-12,amd64,12.3.0-1ubuntu1~22.04
2023-10-10T16:23:58,cpp-9,amd64,9.5.0-1ubuntu1~22.04
2023-10-10T16:23:58,cracklib-runtime,amd64,2.9.6-3.4build4
2023-10-10T16:23:58,crda,amd64,4.14+git20191112.9856751-1build1
2023-10-10T16:23:58,cron,amd64,3.0pl1-137ubuntu3
2023-10-10T16:23:58,cups,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-browsed,amd64,1.28.15-0ubuntu1.2
2023-10-10T16:23:58,cups-bsd,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-client,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-common,all,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-core-drivers,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-daemon,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-filters,amd64,1.28.15-0ubuntu1.2
2023-10-10T16:23:58,cups-filters-core-drivers,amd64,1.28.15-0ubuntu1.2
2023-10-10T16:23:58,cups-ipp-utils,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-pk-helper,amd64,0.2.6-1ubuntu5
2023-10-10T16:23:58,cups-ppdc,amd64,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,cups-server-common,all,2.4.1op1-1ubuntu4.7
2023-10-10T16:23:58,curl,amd64,7.81.0-1ubuntu1.13
2023-10-10T16:23:58,dash,amd64,0.5.11+git20210903+057cd650a4ed-3build1
2023-10-10T16:23:58,dbus,amd64,1.12.20-2ubuntu4.1
2023-10-10T16:23:58,dbus-user-session,amd64,1.12.20-2ubuntu4.1
2023-10-10T16:23:58,dbus-x11,amd64,1.12.20-2ubuntu4.1
2023-10-10T16:23:58,dc,amd64,1.07.1-3build1
2023-10-10T16:23:58,dconf-cli,amd64,0.40.0-3
2023-10-10T16:23:58,dconf-gsettings-backend,amd64,0.40.0-3
2023-10-10T16:23:58,dconf-service,amd64,0.40.0-3
2023-10-10T16:23:58,dctrl-tools,amd64,2.24-3build2
2023-10-10T16:23:58,debconf,all,1.5.79ubuntu1
2023-10-10T16:23:58,debconf-i18n,all,1.5.79ubuntu1
2023-10-10T16:23:58,debianutils,amd64,5.5-1ubuntu2
2023-10-10T16:23:58,default-jre,amd64,2:1.11-72build2
2023-10-10T16:23:58,default-jre-headless,amd64,2:1.11-72build2
2023-10-10T16:23:58,desktop-file-utils,amd64,0.26-1ubuntu3
2023-10-10T16:23:58,dex,all,0.9.0-1
2023-10-10T16:23:58,dh-elpa-helper,all,2.0.9ubuntu1
2023-10-10T16:23:58,dictionaries-common,all,1.28.14
2023-10-10T16:23:58,diffutils,amd64,1:3.8-0ubuntu2
2023-10-10T16:23:58,dirmngr,amd64,2.2.27-3ubuntu2.1
2023-10-10T16:23:58,distro-info,amd64,1.1ubuntu0.1
2023-10-10T16:23:58,distro-info-data,all,0.52ubuntu0.4
2023-10-10T16:23:58,dkms,all,2.8.7-2ubuntu2.2
2023-10-10T16:23:58,dmidecode,amd64,3.3-3ubuntu0.1
2023-10-10T16:23:58,dmsetup,amd64,2:1.02.175-2.1ubuntu4
2023-10-10T16:23:58,dmz-cursor-theme,all,0.4.5ubuntu1
2023-10-10T16:23:58,dns-root-data,all,2021011101
2023-10-10T16:23:58,dnsmasq-base,amd64,2.86-1.1ubuntu0.3
2023-10-10T16:23:58,docbook-xml,all,4.5-11
2023-10-10T16:23:58,docutils-common,all,0.17.1+dfsg-2
2023-10-10T16:23:58,dos2unix,amd64,7.4.2-2
2023-10-10T16:23:58,dosfstools,amd64,4.2-1build3
2023-10-10T16:23:58,dotnet-apphost-pack-6.0,amd64,6.0.122-0ubuntu1~22.04.1
2023-10-10T16:23:58,dotnet-host,amd64,7.0.11-1
2023-10-10T16:23:58,dotnet-hostfxr-6.0,amd64,6.0.122-0ubuntu1~22.04.1
